filepath,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Session,startPress.keys,startPress.rt,trials.thisTrialN,trials.thisIndex,rating_valence.response,Arousal.response,Dominance.response,liking.response,familiarity.response,relevance.response,Emotion_Name,Quadrant,FivePointScale,MouseClickEvents,session,participant,frameRate,stimulus_index,expName,date
,,,,,3,right,3.193532944,,,,,,,,,,,,,3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/neutral_1.mp4,0,0,0,0,,,,0,0,8.97,7.95,7.04,5,4,3.98,{},,,,3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/12.m4v,0,1,1,1,,,,1,1,9,9,8.07,5,5,4.98,"{'0': [u'Joyous: Full of happiness and joy', u'', u'', u'', '']}",HVHA,['very much'],[29.909742832183838],3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/8.m4v,0,2,2,2,,,,2,2,7.01,6,6.5,4,4,3.25,{},,,,3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/4.mp4,0,3,3,3,,,,3,3,1.05,7.1,5.04,1,2,1,{},,,,3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/15.mp4,0,4,4,4,,,,4,4,1,7.95,6.02,2,3,2.5,{},,,,3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/17.mp4,0,5,5,5,,,,5,5,4.42,7.53,6.2,4,4,3.48,"{'0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}",HVHA,['quit a bit'],[10.953299283981323],3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/16.mp4,0,6,6,6,,,,6,6,1,8.03,7.95,1,4,3.61,"{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}",HVHA,"['quit a bit', 'very much']","[24.978188037872314, 43.734498023986816]",3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/neutral_2.mp4,0,7,7,7,,,,7,7,6.06,7.01,5.81,4,4,2.32,{},,,,3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/7.mp4,0,8,8,8,,,,8,8,3.07,6.87,5.81,4,4,2.98,"{'0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}",HVHA,['quit a bit'],[52.51457381248474],3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/2.m4v,0,9,9,9,,,,9,9,1,9,6.83,1,5,3.68,"{'0': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}",HVHA,['very much'],[33.66934895515442],3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
/home/iiita/Experiment/block/24.mp4,0,10,10,10,,,,10,10,1,8.86,6,1,5,3.42,"{'0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}",HVHA,['very much'],[52.96306586265564],3,mit003,59.87739871,00:11,final_exp,2019_Dec_01_1752
